run,score,time,step
8,2072,49079.4,3160
8,2094,50048.2,3222
8,2081,51079.6,3287
8,2084,51938.9,3342
8,2085,52954.4,3407
8,2087,54134.4,3483
8,2105,55391.8,3563
8,2086,56438.5,3629
8,2087,57501.7,3697
8,2110,58689.1,3772
8,2099,59774.8,3842
8,2088,60798.6,3908
8,2098,61970.4,3983
8,2067,62939.3,4045
8,2092,63907.9,4107
8,2103,65079.6,4181
8,2102,66218.3,4254
8,2074,67126.8,4312
8,2085,68032.5,4370
8,2075,69045.5,4435
8,2101,70189.2,4509
8,2084,71236.2,4575
8,2102,72345.7,4646
8,2098,73279.2,4707
8,2095,74439,4781
8,2100,75322.4,4838
8,2096,76448.9,4910
8,2113,77736.5,4993
8,2106,78923.6,5069
8,2096,79924,5132
8,2095,81048.4,5203
8,2109,82377.1,5287
8,2087,83267.1,5345
8,2088,84220.6,5406
8,2097,85236.3,5471
8,2096,86314.5,5540
8,2100,87423.8,5610
8,2100,88454.6,5676
8,2111,89740.2,5759
8,2093,90954.5,5837
8,2096,92220.5,5918
8,2112,93345.3,5989
8,2083,94424,6059
8,2101,95454.7,6125
8,2092,96299,6179
8,2091,97267.1,6240
8,2085,98142.5,6296
8,2097,99232.6,6367
8,2099,100274,6435
8,2086,101252,6498
8,2106,102283,6564
8,2077,103127,6617
8,2087,104174,6684
8,2095,105220,6749
8,2108,106119,6807
8,2106,107204,6876
8,2098,108439,6956
8,2087,109394,7018
8,2088,110423,7085
8,2082,111300,7141
8,2086,112171,7196
8,2104,113362,7271
8,2110,114639,7353
8,2097,115734,7424
8,2095,116608,7481
8,2087,117568,7543
8,2087,118591,7608
8,2104,119669,7677
8,2089,120536,7733
8,2092,121559,7799
8,2090,122523,7857
8,2105,123620,7927
8,2083,124673,7993
8,2099,128104,8055
8,2084,129066,8117
8,2088,130116,8185
8,2099,131261,8260
8,2091,132254,8324
8,2109,133340,8393
8,2080,134463,8466
8,2105,135488,8533
8,2115,136801,8618
8,2091,137751,8680
8,2098,138778,8746
8,2083,139820,8814
8,2095,140876,8882
8,2097,141929,8950
8,2103,142995,9019
8,2094,144073,9090
8,2103,145218,9164
8,2086,146079,9220
8,2102,147285,9298
8,2084,148209,9358
8,2090,149198,9422
9,2086,976.463,63
9,2096,2010.14,130
9,2105,3227.82,209
9,2090,4236.04,275
9,2078,5209.12,338
9,2074,6183.69,401
9,2092,7079.46,459
9,2078,8088.36,524
9,2102,9300.18,602
9,2100,10429.7,675
9,2086,11461.1,742
9,2106,12669.7,819
9,2095,13487.6,872
9,2092,14482.2,936
9,2093,15495.2,1002
9,2090,16433.8,1062
9,2082,17433.6,1126
9,2088,18486.6,1194
9,2084,19502.8,1260
9,2085,20506.6,1325
9,2094,21584.3,1395
9,2082,22556.2,1458
9,2098,23555.2,1523
9,2116,24858.9,1606
9,2093,25965.8,1678
9,2101,26979.7,1744
9,2090,28035.1,1812
9,2091,29084.7,1880
9,2090,30107.3,1947
9,2082,31200.7,2018
9,2113,32372.2,2094
9,2096,33442.6,2164
9,2095,34365.5,2224
9,2103,35513,2299
9,2097,36621.7,2371
9,2108,37810,2449
9,2102,38899.8,2520
9,2076,39729,2574
9,2091,40675.7,2634
9,2086,41728.7,2702
9,2099,42820.5,2772
9,2091,43909.7,2842
9,2119,45099.3,2920
